var_code,var_name,translated
chclno,Numero district,District Number
chhhno,Numero m‚nage,"m,nage Number"
chlnno,Numero ligne de l'enfant,Number of online child
chctno,Num‚ro de ligne de la personne en charge,"Num,ro line the person in charge"
br1aa,Sexe de l'enfant,Gender of child
br2,Age de l'enfant,Age of the child
br3d,Jour de naissance de l'enfant,child birth day
br3m,Mois de naissance de l'enfant,Month of birth of the child
br3y,Ann‚e de naissance de l'enfant,"Ann,e of childbirth"
br4,A  t il / elle un certificat de naissance,At t he / she a birth certificate
br5,Est ce que la naissance a ‚t‚ enregistr‚e,"Is the birth, t, enregistr,e"
br6,Pourquoi la naissance n'a pas ‚t‚ enregistr‚e,"Why has not the birth, t, enregistr,e"
br7,Savez vous comment l'enregistrer,Do you know how to save it
br8,L'enfant frquente t il un programme d'education formelle,The child frquente t there a formal education program
br9,Nombre d'heures de frequentation durant les 7 derniers jours,Number of hours of attendance during the last 7 days
va1,L'enfant a t il re‡u une capsule de vitamine A,The child does it re ‡ u a vitamin A capsule
va2,Depuis combien de mois a t il re‡u la derniere dose,How many months it has been re ‡ u the last dose
va3,Ou a t il obtenu la derniere dose,Or does he get the last dose
va3aa,Avez vu entendu des messages faisant promotion aliments,Have been heard making food promotional messages
va3bb1,Feuilles vertes,Green leaves
va3bb2,Carottes,carrots
va3bb3,Mangues,mangoes
va3bb4,Papaye,papaya
va3bb5,Melons pasteque,watermelon Melons
va3bb6,Lait maternel,breast milk
va3bb7,Oeuf,egg
va3bb8,Viande,meat
va3bb9,Poisson,fish
va3aa10,Huile de palme,Palm oil
va3aa11,Autres,other
va3cc1,Feuilles vertes,Green leaves
va3cc2,Carottes,carrots
va3cc3,Mangues,mangoes
va3cc4,Papaye,papaya
va3cc5,Melons pasteque,watermelon Melons
va3cc6,Lait maternel,breast milk
va3cc7,Oeuf,egg
va3cc8,Viande,meat
va3cc9,Poisson,fish
va3cc10,Huile de palme,Palm oil
ci1,A t il / elle eu la diarh‚e ces 2 derniers semaines,"At t he / she had the diarh,e past two weeks"
ci2,Avait il / elle souffert d'une autre maladie,Had he / she suffered from another disease
ci3a,Lait maternel,breast milk
ci3b,Bouillie de cer‚ales,"Porridge cer,ales"
ci3c,Jus de pain de singe,baobab fruit juice
ci3d,Solution sal‚e sucr‚e,"Solution sal,e sucr,e"
ci3e,Tisane decoction feuille de goyave nep nep,Herbal decoction guava leaf NEP NEP
ci3f,Lait caille,Milk quail
ci3g,SRO,SRO
ci3h,Eau simple,single water
ci3i,Autre,other
ci3j,Rien,nothing
ci4,Au cours de la maladie a t il bu beaucoup ou moins,During the illness does he drank a lot or less
