AFG,Afghanistan,Afghanistan,Afghan Republic,,,,,,,,
ALB,Albania,Albania,Albanie,,,,,,,,
DZA,Algeria,Algeria,Algérie,,,,,,,,
ASM,American_Samoa,American Samoa,,,,,,,,,
AND,Andorra,Andorra,Andorre,,,,,,,,
AGO,Angola,Angola,,,,,,,,,
AIA,Anguilla,Anguilla,,,,,,,,,
ATA,Antartica,Antartica,,,,,,,,,
ATG,Antigua_Barbuda,Antigua & Barbuda,Antigua and Barbuda,Antigua et Barbuda,,,,,,,
ARG,Argentina,Argentina,Argentine,,,,,,,,
ARM,Armenia,Armenia,Arménie,,,,,,,,
ABW,Aruba,Aruba,,,,,,,,,
AUS,Australia,Australia,Australie,,,,,,,,
AUT,Austria,Austria,Autriche,,,,,,,,
AZE,Azerbaijan,Azerbaijan,,,,,,,,,
BHS,Bahamas,Bahamas,,,,,,,,,
BHR,Bahrain,Bahrain,,,,,,,,,
BGD,Bangladesh,Bangladesh,,,,,,,,,
BRB,Barbados,Barbados,Barbade,,,,,,,,
BLR,Belarus,Belarus,Byelorussian SSR,,,,,,,,
BEL,Belgium,Belgium,Belgique,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,
BEN,Benin,Benin,Dahomey,Bénin,,,,,,,
BMU,Bermuda,Bermuda,,,,,,,,,
BTN,Bhutan,Bhutan,,,,,,,,,
COL,Bolivia,Bolivia,Republic of Bolívar,Bolivie,République de Bolivar,,,,,,
BIH,Bosnia_Herzegovina,Bosnia & Herzegovina,Bosnia and Herzegovina,Bosnie et Herzégovine,Bosnie Herzégovine,Bosnie & Herzégovine,Bosnia Herzegovina,,,,
BWA,Botswana,Botswana,,,,,,,,,
BVT,Bouvet_Island,Bouvet Island,,,,,,,,,
BRA,Brazil,Brazil,Brésil,,,,,,,,
VGB,British_Virgin_Islands,British Virgin Islands,,,,,,,,,
BRN,Brunei_Darussalam,Brunei Darussalam,Brunei,,,,,,,,
BGR,Bulgaria,Bulgaria,Bulgarie,,,,,,,,
BFA,Burkina_Faso,Burkina Faso,Haute-Volta,Haute Volta,Upper Volta,,,,,,
BDI,Burundi,Burundi,,,,,,,,,
KHM,Cambodia,Cambodia,Kampuchea,Khmer Republic,Cambodge,,,,,,
CMR,Cameroon,Cameroon,Cameroun,,,,,,,,
CAN,Canada,Canada,,,,,,,,,
CPV,Cape_Verde,Cape Verde,Cabo Verde,Cap Vert,,,,,,,
CYM,Cayman_Islands,Cayman Islands,Iles Caiman,,,,,,,,
CAR,Central_African_Republic,Central African Republic,République Centrafricaine,,,,,,,,
TCD,Chad,Chad,Tchad,,,,,,,,
CHI,Channel_Islands,Channel Islands,,,,,,,,,
CHL,Chile,Chile,Chili,,,,,,,,
CHN,China,China,Chine,,,,,,,,
COL,Colombia,Colombia,Colombie,,,,,,,,
COM,Comoros,Comoros,Comores,,,,,,,,
COK,Cook Islands,Cook Islands,Iles Cook,,,,,,,,
CRI,Costa_Rica,Costa Rica,,,,,,,,,
HRV,Croatia,Croatia,Hrvatska,Croatie,,,,,,,
CUB,Cuba,Cuba,,,,,,,,,
CUW,Curaçao,Curaçao,,,,,,,,,
CYP,Cyprus,Cyprus,Chypre,,,,,,,,
CZE,Czech_Republic,Czech Republic,Czechia,République Tchèque,Tchéquie,,,,,,
CSK,Czechoslovakia,Czechoslovakia,Czechoslovak Republic,Tchécoslovaquie,République socialiste tchécoslovaque,République tchécoslovaque,,,,,
COD,Democratic_Republic_Congo,Democratic Republic of the Congo,"Congo, DR",Zaire, Congo belge,République démocratique du Congo,"Congo, DRC","Congo, Dem. Rep.",,,
DNK,Denmark,Denmark,Danmark,Danemark,,,,,,,
DJI,Djibouti,Djibouti,Territory of the Afars and the Issas,Territoire des Afars et des Issas,French Afars and Issas,,,,,,
DMA,Dominica,Dominica,Dominique,,,,,,,,
DOM,Dominican_Republic,Dominican Republic,République dominicaine,,,,,,,,
ECU,Ecuador,Ecuador,Equateur,,,,,,,,
EGY,Egypt,Egypt,Egypte,,,,,,,,
SLV,El_Salvador,El Salvador,,,,,,,,,
GNQ,Equatorial_Guinea,Equatorial Guinea,Guinée Equatoriale,,,,,,,,
ERI,Eritrea,Eritrea,Erythrée,,,,,,,,
EST,Estonia,Estonia,Estonie,,,,,,,,
SWZ,Eswatini,Swaziland,Eswatini,,,,,,,,
ETH,Ethiopia,Ethiopia,Ethiopie,,,,,,,,
FLK,Falkland Islands,Falkland Islands,Falklands,,,,,,,,
FRO,Faroe Islands,Faroes Islands,Iles Feroe,,,,,,,,
FJI,Fiji,Fiji,,,,,,,,,
FIN,Finland,Finland,Suomi ,Finlande,,,,,,,
FRA,France,France,,,,,,,,,
GUF,French_Guiana,French Guiana,French Guyana,Guyane Française,,,,,,,
PYF,French_Polynesia,French Polynesia,Polynésie française,,,,,,,,
GAB,Gabon,Gabon,Gabonese Republic,,,,,,,,
GMB,Gambia,Gambia,Gambie,,,,,,,,
GEO,Georgia,Georgia,Georgie,,,,,,,,
DEU,Germany,Germany,Deutschland,Allemagne,,,,,,,
GHA,Ghana,Ghana,,,,,,,,,
GIB,Gibraltar,Gibraltar,,,,,,,,,
GRC,Greece,Greece,Hellas,Grèce,,,,,,,
GRL,Greenland,Greenland,Groenland,,,,,,,,
GRD,Grenada,Grenada,Grenade,,,,,,,,
GLP,Guadeloupe,Guadeloupe,,,,,,,,,
GUM,Guam,Guam,,,,,,,,,
GTM,Guatemala,Guatemala,,,,,,,,,
GGY,Guernsey,Guernsey,,,,,,,,,
GIN,Guinea,Guinea,Guinée,,,,,,,,
GNB,Guinea_Bissau,Guinea-Bissau,Guinea Bissau,,,,,,,,
GUY,Guyana,Guyana,Guyane,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,
HKG,"Hong Kong SAR, China","Hong Kong SAR, China","Hong Kong, China","Hong Kong,China",Hong Kong,,,,,,
HUN,Hungary,Hungary,Hongrie,,,,,,,,
ISL,Iceland,Iceland,Islande,,,,,,,,
IND,India,India,Inde,,,,,,,,
IDN,Indonesia,Indonesia,Indonésie,,,,,,,,
IRN,Iran,Iran,,,,,,,,,
IRQ,Iraq,Iraq,Irak,,,,,,,,
IRL,Ireland ,Ireland ,Eire,Irlande,,,,,,,
IMN,Isle of Man,Isle of Man,,,,,,,,,
ISR,Israel,Israel,,,,,,,,,
ITA,Italy,Italy,Italie,,,,,,,,
CIV,Ivory_Coast,Ivory Coast,Cote d'Ivoire,Côte d'Ivoire,,,,,,,
JAM,Jamaica,Jamaica,Jamaique,,,,,,,,
JPN,Japan,Japan,Nippon,Japon,,,,,,,
JEY,Jersey,Jersey,,,,,,,,,
JOR,Jordan,Jordan,Jordanie,,,,,,,,
KAZ,Kazakhstan,Kazakhstan,,,,,,,,,
KEN,Kenya,Kenya,,,,,,,,,
KIR,Kiribati,Kiribati,,,,,,,,,
